"firm_id","year_tr","valore_aggiunto_2019","valore_aggiunto_2020","covid_va_drop"
2,0,7137,-785,TRUE
5,0,6925,-41,TRUE
18,0,3524,276,TRUE
22,0,3681,889,TRUE
33,0,16165,2490,TRUE
64,0,50730,8699,TRUE
106,0,6418,381,TRUE
174,0,16206,3758,TRUE
259,0,9694,2269,TRUE
310,0,31901,6832,TRUE
319,0,186056,-8261,TRUE
370,0,12539,310,TRUE
373,0,1600280,473431,TRUE
423,0,35496,-24528,TRUE
427,0,9663,3086,TRUE
466,0,8934,2506,TRUE
507,0,6065,-6847,TRUE
596,2021,45522,12551,TRUE
600,2021,156003,29198,TRUE
724,0,10741,2930,TRUE
824,0,9559,2574,TRUE
841,0,21606,5312,TRUE
911,0,41443,160,TRUE
924,2021,40279,7421,TRUE
984,0,43501,12714,TRUE
1074,0,148850,38735,TRUE
1079,0,11948,2951,TRUE
1133,0,74400,2202,TRUE
1158,0,55422,11215,TRUE
1181,0,27431,8402,TRUE
1183,0,185,-2622,TRUE
1204,0,42680,13687,TRUE
1230,0,17898,4175,TRUE
1243,0,13187,-7394,TRUE
1248,0,2348,-5420,TRUE
1256,0,1101,-21090,TRUE
1326,0,12632,3438,TRUE
1437,0,5750,1682,TRUE
1470,2021,16974,-960,TRUE
1471,2021,21856,-219,TRUE
1475,2021,23786,5945,TRUE
1476,2021,26068,4833,TRUE
1538,0,65777,16065,TRUE
1630,2023,766,-1813,TRUE
